Hãng điện thoại	Model	Model App	Mã Sửa Chữa	Sửa Chữa	Sửa Chữa App	Mã LK	Linh Kiện	Loại Bảo Hành	Tiền linh kiện	Tiền Công Sửa	Mức Sửa
HTC	HTC 8X/ C620e/ PM23200 ACCORD	HTC Windows Phone 8X by HTC	HTC-L101.2-Black	Thay màn hình có cảm ứng và mặt trước (đen)		80H01389-01	Màn hình có cảm ứng 8X (đen)	YES	2900000	300000	M3
HTC	HTC 8X/ C620e/ PM23200 ACCORD	HTC Windows Phone 8X by HTC	HTC-L101.2-Blue	Thay màn hình có cảm ứng và mặt trước (xanh)		36H01904-00M	Loa 8X/S, Desire 200/300/500/501/C/L/SV, One SV/X+	YES	120000	150000	M1.5
HTC	HTC 8X/ C620e/ PM23200 ACCORD	HTC Windows Phone 8X by HTC	HTC-L101.2-Blue	Thay màn hình có cảm ứng và mặt trước (xanh)		66H00119-04M	Miếng dán bảo vệ màn hình 8X	YES	70000	0	Free
HTC	HTC 8X/ C620e/ PM23200 ACCORD	HTC Windows Phone 8X by HTC	HTC-L101.2-Blue	Thay màn hình có cảm ứng và mặt trước (xanh)		80H01389-00	Màn hình có cảm ứng 8X (xanh)	YES	2900000	300000	M3
HTC	HTC 8X/ C620e/ PM23200 ACCORD	HTC Windows Phone 8X by HTC	HTC-M002-Mic	Thay micro dưới (phải dùng mỏ hàn)	Thay micro dưới	36H01020-00P	Micro bên dưới 8X	YES	70000	250000	M2.5
HTC	HTC 8X/ C620e/ PM23200 ACCORD	HTC Windows Phone 8X by HTC	HTC-M002.2-MIC	Thay micro trên	Thay micro trên	36H01899-00M	Micro 8X	YES	50000	250000	M2.5
HTC	HTC 8X/ C620e/ PM23200 ACCORD	HTC Windows Phone 8X by HTC	HTC-C112-Black	Thay nắp lưng (đen)		74H02316-02M	Vỏ ngoài 8X (đen)	YES	990000	200000	M2
HTC	HTC 8X/ C620e/ PM23200 ACCORD	HTC Windows Phone 8X by HTC	HTC-C112-Blue	Thay nắp lưng (xanh)		74H02316-03M	Vỏ ngoài 8X (xanh)	YES	990000	200000	M2
HTC	HTC 8X/ C620e/ PM23200 ACCORD	HTC Windows Phone 8X by HTC	HTC-M002-SIM	Thay ổ SIM		75H01099-04M	Ổ sim One X, One X +, 8X, Butterfly	YES	40000	450000	M4.5
HTC	HTC 8X/ C620e/ PM23200 ACCORD	HTC Windows Phone 8X by HTC	HTC-B101	Thay pin chính (phải mở máy)	Thay Pin	35H00199-01M	Pin sạc 1800mAh/3,7V 8X	YES	290000	200000	M2
HTC	HTC 8X/ C620e/ PM23200 ACCORD	HTC Windows Phone 8X by HTC	HTC-G105	Thay rung	Thay rung	36H00969-00M	Bộ phận rung (mô tơ) 8X	YES	103000	250000	M2.5
HTC	HTC 8X/ C620e/ PM23200 ACCORD	HTC Windows Phone 8X by HTC	HTC-G101-Black	Thay sạc (đen)		79H00120-01M	Sạc HTC (kg cáp USB) 200mA/5V-1A (đen)	YES	290000	0	Free
HTC	HTC 8X/ C620e/ PM23200 ACCORD	HTC Windows Phone 8X by HTC	HTC-G101-White	Thay sạc (trắng)		79H00120-02M	Sạc HTC (kg cáp USB) 200mA/5V-1A (trắng)	YES	290000	0	Free
HTC	HTC 8X/ C620e/ PM23200 ACCORD	HTC Windows Phone 8X by HTC	HTC-G106-Black	Thay tai nghe (đen)		39H00013-00M	Tai nghe HTC (đen) 8S/8X/Butterfly, Desire 300/500/700/C/L/SV/U/V/X, One S/SV/V/X/X+	YES	350000	0	Free
HTC	HTC 8X/ C620e/ PM23200 ACCORD	HTC Windows Phone 8X by HTC	HTC-G106-White	Thay tai nghe (Trắng)		39H00013-01M	Tai nghe HTC (trắng) 8S/8X/Butterfly, Desire 300/500/700/C/L/SV/U/V/X, One S/SV/V/X/X+	YES	350000	0	Free
HTC	HTC Butterfly S (VN)/ DLXPLUS#U-C9#ASIA	HTC Butterfly S	HTC-M104.1	Thay bo dưới/ bo sạc/ bo micro		51H10216-02M	Bo đuôi sạc Butterfly S	YES	200000	400000	M4
HTC	HTC Butterfly S (VN)/ DLXPLUS#U-C9#ASIA	HTC Butterfly S	HTC-M101	Thay bo mạch chính		76H0A341-00M	Tản nhiệt board (NR) HTC Butterfly S	YES	150000	400000	M4
HTC	HTC Butterfly S (VN)/ DLXPLUS#U-C9#ASIA	HTC Butterfly S	HTC-M101	Thay bo mạch chính		99HVE009-02	Bo mạch chính HTC Butterfly S	YES	4500000	400000	M4
HTC	HTC Butterfly S (VN)/ DLXPLUS#U-C9#ASIA	HTC Butterfly S	HTC-M104.2	Thay bo trên		51H10218-01M	Bo jack tai nghe và phím âm thanh buterfly S	YES	740000	400000	M4
HTC	HTC Butterfly S (VN)/ DLXPLUS#U-C9#ASIA	HTC Butterfly S	HTC-G117-Main	Thay camera chính	Thay Camera chính	54H00506-00M	Camera chính HTC One Mini/ One Max/ Butterfly S	YES	920000	400000	M4
HTC	HTC Butterfly S (VN)/ DLXPLUS#U-C9#ASIA	HTC Butterfly S	HTC-G117-Main	Thay camera chính	Thay Camera chính	72H07819-00M	Miếng xốp đệm cam HTC Butterfly S	YES	10000	400000	M4
HTC	HTC Butterfly S (VN)/ DLXPLUS#U-C9#ASIA	HTC Butterfly S	HTC-G117-Main	Thay camera chính	Thay Camera chính	76H0A104-00M	Miếng xốp đệm camera trước HTC Butterfly S	YES	0	400000	M4
HTC	HTC Butterfly S (VN)/ DLXPLUS#U-C9#ASIA	HTC Butterfly S	HTC-C122.2-KVOL	Thay cáp tín hiệu âm thanh/ volume		51H20536-00M	Phím âm thanh HTC Butterfly S	YES	20000	400000	M4
